case,title,where,item id,label,file to save as (in public),what the photo should show
SCI-3.11C-CL,Keep it or remake it,venn,jarsV,Melt old jars into new jars,/lab/sci-3.11c-cl-jarsv.jpg,"Photo of glowing melted glass being shaped in a glass factory. No people's faces, no text."
SCI-3.11C-CL,Keep it or remake it,venn,tiresV,Grind old tires into playground mats,/lab/sci-3.11c-cl-tiresv.jpg,Photo of small rubber pieces from old tires in a pile. No text.
SCI-3.11C-CL,Keep it or remake it,venn,bottleV,Refill a water bottle,/lab/sci-3.11c-cl-bottlev.jpg,Photo of a reusable water bottle at a water fountain. No text or brand.
SCI-3.11C-CL,Keep it or remake it,venn,coatV,Wear your sister's old coat,/lab/sci-3.11c-cl-coatv.jpg,Photo of a winter coat on a hanger. No text or brand.
SCI-3.11C-CL,Keep it or remake it,venn,canV,Crush a can and throw it in the trash,/lab/sci-3.11c-cl-canv.jpg,"Photo of a crushed soda can on top of a full trash can. No labels, no text."
SCI-3.11C-CL,Keep it or remake it,venn,pizzaV,Throw a pizza box in the trash,/lab/sci-3.11c-cl-pizzav.jpg,"Photo of a whole pizza box sticking out of a trash can. No labels, no text."
SCI-3.12A-CL,Winter moves,page 1,monarch,Monarch butterfly,/lab/sci-3.12a-cl-monarch.jpg,Photo of one orange and black monarch butterfly on a flower. No text.
SCI-3.12A-CL,Winter moves,page 1,geese,Canada geese,/lab/sci-3.12a-cl-geese.jpg,Photo of Canada geese flying in a V shape across the sky. No text.
SCI-3.12A-CL,Winter moves,page 1,crane,Whooping crane,/lab/sci-3.12a-cl-crane.jpg,Photo of a white whooping crane standing in a marsh. No text.
SCI-3.12A-CL,Winter moves,page 1,groundhog,Groundhog,/lab/sci-3.12a-cl-groundhog.jpg,Photo of a groundhog sitting up in green grass. No text.
SCI-3.12A-CL,Winter moves,page 1,gsquirrel,Ground squirrel,/lab/sci-3.12a-cl-gsquirrel.jpg,Photo of a thirteen-lined ground squirrel on grass. No text.
SCI-3.12A-CL,Winter moves,page 1,bat,Little brown bat,/lab/sci-3.12a-cl-bat.jpg,Photo of a little brown bat hanging upside down in a cave. No text.
SCI-3.12A-CL,Winter moves,page 2,humpback,Humpback whale,/lab/sci-3.12a-cl-humpback.jpg,"Photo of a humpback whale's tail above the ocean. No boats, no text."
SCI-3.12A-CL,Winter moves,page 2,caribou,Caribou,/lab/sci-3.12a-cl-caribou.jpg,Photo of a herd of caribou walking across snowy land. No text.
SCI-3.12A-CL,Winter moves,page 2,woodfrog,Wood frog,/lab/sci-3.12a-cl-woodfrog.jpg,Photo of a brown wood frog on dead leaves. No text.
SCI-3.12A-CL,Winter moves,page 2,boxturtle,Box turtle,/lab/sci-3.12a-cl-boxturtle.jpg,Photo of a box turtle on the forest floor. No text.
SCI-3.12A-CL,Winter moves,page 2,maple,Maple tree drops its leaves,/lab/sci-3.12a-cl-maple.jpg,Photo of a bare maple tree in winter with fallen leaves around it. No text.
SCI-3.12A-CL,Winter moves,page 2,cat,House cat,/lab/sci-3.12a-cl-cat.jpg,Photo of a pet cat asleep on a couch. No text.
SCI-3.12A-CL,Winter moves,venn,hummerV,Ruby-throated hummingbird,/lab/sci-3.12a-cl-hummerv.jpg,Photo of a ruby-throated hummingbird at a flower. No text.
SCI-3.12A-CL,Winter moves,venn,sandhillV,Sandhill crane,/lab/sci-3.12a-cl-sandhillv.jpg,Photo of sandhill cranes flying over a field. No text.
SCI-3.12A-CL,Winter moves,venn,graywhaleV,Gray whale,/lab/sci-3.12a-cl-graywhalev.jpg,"Photo of a gray whale's back rising out of the ocean. No boats, no text."
SCI-3.12A-CL,Winter moves,venn,cardinalV,Northern cardinal,/lab/sci-3.12a-cl-cardinalv.jpg,Photo of a red cardinal on a snowy branch. No text.
SCI-3.12A-CL,Winter moves,venn,groundhogV,Groundhog,/lab/sci-3.12a-cl-groundhogv.jpg,Photo of a groundhog peeking out of its burrow. No text.
SCI-3.12A-CL,Winter moves,venn,oakV,Oak tree,/lab/sci-3.12a-cl-oakv.jpg,Photo of a bare oak tree in winter. No text.
SCI-3.12B-CL,Who makes food?,page 1,grass,Grass,/lab/sci-3.12b-cl-grass.jpg,Photo of a close-up of green grass. No text.
SCI-3.12B-CL,Who makes food?,page 1,kelp,Kelp,/lab/sci-3.12b-cl-kelp.jpg,"Photo of tall brown-green kelp underwater. No divers, no text."
SCI-3.12B-CL,Who makes food?,page 1,cactus,Cactus,/lab/sci-3.12b-cl-cactus.jpg,Photo of a prickly pear cactus in the desert. No text.
SCI-3.12B-CL,Who makes food?,page 1,frog,Green frog,/lab/sci-3.12b-cl-frog.jpg,Photo of a green frog sitting on a lily pad. No text.
SCI-3.12B-CL,Who makes food?,page 1,caterpillar,Green caterpillar,/lab/sci-3.12b-cl-caterpillar.jpg,Photo of a green caterpillar on a green leaf. No text.
SCI-3.12B-CL,Who makes food?,page 1,cow,Cow,/lab/sci-3.12b-cl-cow.jpg,Photo of a cow eating grass in a field. No text.
SCI-3.12B-CL,Who makes food?,page 2,algae,Algae in a pond,/lab/sci-3.12b-cl-algae.jpg,Photo of green algae floating on the top of a pond. No text.
SCI-3.12B-CL,Who makes food?,page 2,moss,Moss on a rock,/lab/sci-3.12b-cl-moss.jpg,Photo of green moss growing on a gray rock. No text.
SCI-3.12B-CL,Who makes food?,page 2,turtle,Green sea turtle,/lab/sci-3.12b-cl-turtle.jpg,"Photo of a green sea turtle swimming over seagrass. No divers, no text."
SCI-3.12B-CL,Who makes food?,page 2,anole,Green anole lizard,/lab/sci-3.12b-cl-anole.jpg,Photo of a green anole lizard on a green leaf. No text.
SCI-3.12B-CL,Who makes food?,page 2,sun,The sun,/lab/sci-3.12b-cl-sun.jpg,Photo of the sun shining in a clear blue sky. No text.
SCI-3.12B-CL,Who makes food?,page 2,plastic,Plastic plant,/lab/sci-3.12b-cl-plastic.jpg,Photo of a fake plastic plant in a pot on a shelf. No text or tags.
SCI-3.12B-CL,Who makes food?,venn,lilyV,Water lily,/lab/sci-3.12b-cl-lilyv.jpg,Photo of a water lily with a flower floating on a pond. No text.
SCI-3.12B-CL,Who makes food?,venn,duckweedV,Duckweed,/lab/sci-3.12b-cl-duckweedv.jpg,Photo of tiny duckweed covering the top of a pond. No text.
SCI-3.12B-CL,Who makes food?,venn,appleV,Apple tree,/lab/sci-3.12b-cl-applev.jpg,Photo of an apple tree with red apples. No text.
SCI-3.12B-CL,Who makes food?,venn,catfishV,Catfish,/lab/sci-3.12b-cl-catfishv.jpg,Photo of a catfish swimming underwater. No text.
SCI-3.12B-CL,Who makes food?,venn,sharkV,Shark,/lab/sci-3.12b-cl-sharkv.jpg,"Photo of a shark swimming in blue water. No divers, no text."
SCI-3.12B-CL,Who makes food?,venn,rabbitV,Rabbit,/lab/sci-3.12b-cl-rabbitv.jpg,Photo of a brown rabbit sitting in grass. No text.
SS-3.3C-CL,Natural or made by people?,page 1,enchanted,Enchanted Rock,/lab/ss-3.3c-cl-enchanted.jpg,"Photo of Enchanted Rock, a big rounded pink granite dome in the Texas Hill Country. No people, no text."
SS-3.3C-CL,Natural or made by people?,page 1,paloduro,Palo Duro Canyon,/lab/ss-3.3c-cl-paloduro.jpg,"Photo of the red and orange cliffs of Palo Duro Canyon. No people, no text."
SS-3.3C-CL,Natural or made by people?,page 1,dunes,Sand dunes on Padre Island,/lab/ss-3.3c-cl-dunes.jpg,"Photo of sand dunes with grass on Padre Island, with the sea behind. No people, no text."
SS-3.3C-CL,Natural or made by people?,page 1,travis,"Lake Travis, held back by a dam",/lab/ss-3.3c-cl-travis.jpg,"Photo of Lake Travis, wide blue water with green hills around it. Dam not shown. No people, no text."
SS-3.3C-CL,Natural or made by people?,page 1,citypark,A city park with planted trees,/lab/ss-3.3c-cl-citypark.jpg,"Photo of a city park with rows of young trees, mowed grass, and a small pond. No people, no text."
SS-3.3C-CL,Natural or made by people?,page 1,cornfield,A cornfield,/lab/ss-3.3c-cl-cornfield.jpg,"Photo of a large cornfield with long straight rows of green corn. No people, no text."
SS-3.3C-CL,Natural or made by people?,page 2,rio,The Rio Grande,/lab/ss-3.3c-cl-rio.jpg,"Photo of the Rio Grande flowing between rocky banks in Big Bend. No people, no text."
SS-3.3C-CL,Natural or made by people?,page 2,hamilton,"Hamilton Pool, a rock swimming hole",/lab/ss-3.3c-cl-hamilton.jpg,"Photo of Hamilton Pool Preserve, a green pool under a rock overhang with a waterfall. No people, no text."
SS-3.3C-CL,Natural or made by people?,page 2,treefarm,A tree farm,/lab/ss-3.3c-cl-treefarm.jpg,"Photo of a tree farm with pine trees planted in long straight rows. No people, no text."
SS-3.3C-CL,Natural or made by people?,page 2,stocktank,A stock tank dug for cows,/lab/ss-3.3c-cl-stocktank.jpg,"Photo of a small muddy farm pond in a Texas pasture, with a few cows nearby. No people, no text."
SS-3.3C-CL,Natural or made by people?,page 2,rain,A rainstorm,/lab/ss-3.3c-cl-rain.jpg,"Photo of heavy rain falling over an open field. No people, no text."
SS-3.3C-CL,Natural or made by people?,page 2,lightning,Lightning,/lab/ss-3.3c-cl-lightning.jpg,Photo of a lightning bolt in a dark night sky over flat land. No text.
SS-3.3C-CL,Natural or made by people?,venn,canyonlakeV,"Canyon Lake, held back by a dam",/lab/ss-3.3c-cl-canyonlakev.jpg,"Photo of Canyon Lake, blue water with green hills. No people, no text."
SS-3.3C-CL,Natural or made by people?,venn,canalV,A canal that brings water to farms,/lab/ss-3.3c-cl-canalv.jpg,"Photo of a straight cement canal full of water beside farm fields. No people, no text."
SS-3.3C-CL,Natural or made by people?,venn,fallsV,Pedernales Falls,/lab/ss-3.3c-cl-fallsv.jpg,"Photo of water flowing over wide, layered rocks at Pedernales Falls. No people, no text."
SS-3.3C-CL,Natural or made by people?,venn,riverV,The Rio Grande in Santa Elena Canyon,/lab/ss-3.3c-cl-riverv.jpg,"Photo of the Rio Grande flowing between tall rock walls in Santa Elena Canyon, Big Bend. No people, no text."
SS-3.3C-CL,Natural or made by people?,venn,highwayV,A highway,/lab/ss-3.3c-cl-highwayv.jpg,"Photo of a highway with several lanes crossing open land. No readable signs, no text."
SS-3.3C-CL,Natural or made by people?,venn,peakV,Guadalupe Peak,/lab/ss-3.3c-cl-peakv.jpg,"Photo of the rocky top of Guadalupe Peak in West Texas. No people, no text."
SS-3.14B-CL,Was the author there?,page 1,moonphoto,A photo an astronaut took on the Moon in 1969,/lab/ss-3.14b-cl-moonphoto.jpg,Photo of Buzz Aldrin standing on the Moon during Apollo 11 (NASA photo). No text.
SS-3.14B-CL,Was the author there?,page 1,actor,A still from a 2018 movie about the landing,/lab/ss-3.14b-cl-actor.jpg,Photo of a person in a white astronaut costume on a movie set. No text.
SS-3.14B-CL,Was the author there?,page 2,tv,Live TV video sent from the Moon in 1969,/lab/ss-3.14b-cl-tv.jpg,Still from the grainy black-and-white 1969 TV video of an astronaut on the Moon. No text.
SS-3.14B-CL,Was the author there?,page 2,painting,"A painting of the landing, made in 2020",/lab/ss-3.14b-cl-painting.jpg,A colorful painting of an astronaut and a lander on the Moon. No text.
SS-3.14B-CL,Was the author there?,page 2,baseball,A 1969 photo of a baseball game,/lab/ss-3.14b-cl-baseball.jpg,"Old color photo of a baseball game in a stadium. No readable signs, no text."
SS-3.14B-CL,Was the author there?,venn,footV,"A photo of a bootprint, taken on the Moon",/lab/ss-3.14b-cl-footv.jpg,NASA photo of an astronaut's bootprint in Moon dust from Apollo 11. No text.
SS-3.14B-CL,Was the author there?,venn,tvV,Live TV video of the astronauts on the Moon,/lab/ss-3.14b-cl-tvv.jpg,Still from the grainy 1969 TV video of astronauts on the Moon. No text.
SS-3.14B-CL,Was the author there?,venn,drawV,A drawing of the landing in a 2019 kids' book,/lab/ss-3.14b-cl-drawv.jpg,A simple drawing of an astronaut beside a lander on the Moon. No text.
SS-3.14B-CL,Was the author there?,venn,textV,"A textbook paragraph about the landing, with no pictures",/lab/ss-3.14b-cl-textv.jpg,"Photo of a printed textbook page with only paragraphs of words and no pictures. Words too small to read, no other text."
SCI-4.7-CL,Which force?,page 1,apple,A ripe apple breaks off its branch and drops straight to the ground.,/lab/sci-4.7-cl-apple.jpg,"Photo of a red apple falling from a tree branch. No people, no text."
SCI-4.7-CL,Which force?,page 1,rain,Drops of rain fall from the clouds all the way to the ground.,/lab/sci-4.7-cl-rain.jpg,Photo of rain falling from clouds onto a field. No text.
SCI-4.7-CL,Which force?,page 1,toss,"When a ball is thrown straight up into the air, it comes back down.",/lab/sci-4.7-cl-toss.jpg,"Photo of a ball in the air above a person's open hands, against a blue sky. No face, no text."
SCI-4.7-CL,Which force?,page 1,grass,A ball rolls across the grass and gradually comes to a stop.,/lab/sci-4.7-cl-grass.jpg,"Photo of a soccer ball resting in tall grass. No people, no text."
SCI-4.7-CL,Which force?,page 1,sled,A sled slides across flat snow and slowly loses speed.,/lab/sci-4.7-cl-sled.jpg,"Photo of an empty sled on flat, snowy ground. No people, no text."
SCI-4.7-CL,Which force?,page 1,brakes,"A rider squeezes the brakes, and the bike comes to a stop.",/lab/sci-4.7-cl-brakes.jpg,"Close-up photo of a bike brake pressing on a wheel rim. No people, no text."
SCI-4.7-CL,Which force?,page 2,river,"A river flows downhill from the mountains, and it eventually reaches the ocean.",/lab/sci-4.7-cl-river.jpg,"Photo of a small river flowing down a rocky hillside. No people, no text."
SCI-4.7-CL,Which force?,page 2,book,A book slides off the edge of a desk and lands on the floor.,/lab/sci-4.7-cl-book.jpg,"Photo of a book falling in the air next to the edge of a desk. No people, no text."
SCI-4.7-CL,Which force?,page 2,hands,"You rub your hands together quickly, and they start to feel warm.",/lab/sci-4.7-cl-hands.jpg,"Photo of two hands rubbing together on a cold day. No face, no text."
SCI-4.7-CL,Which force?,page 2,shoes,A player's sneakers grip the gym floor instead of slipping.,/lab/sci-4.7-cl-shoes.jpg,"Close-up photo of sneakers on a shiny wooden gym floor. No face, no text."
SCI-4.7-CL,Which force?,page 2,clips,A magnet picks up a pile of paper clips from the table.,/lab/sci-4.7-cl-clips.jpg,Photo of a red horseshoe magnet with a chain of paper clips hanging from it. No text.
SCI-4.7-CL,Which force?,page 2,compass,A compass needle swings around to point north.,/lab/sci-4.7-cl-compass.jpg,Photo of a compass on a table with its needle pointing. No readable text.
SCI-4.7-CL,Which force?,venn,brakesV,Bike brakes press against a spinning wheel and slow it down.,/lab/sci-4.7-cl-brakesv.jpg,"Close-up photo of bike brake pads squeezing a wheel. No people, no text."
SCI-4.7-CL,Which force?,venn,rugV,A toy car rolls from the smooth floor onto a thick rug and slows down.,/lab/sci-4.7-cl-rugv.jpg,"Photo of a toy car on a thick, shaggy rug. No people, no text."
SCI-4.7-CL,Which force?,venn,upV,A ball tossed into the air slows down as it rises.,/lab/sci-4.7-cl-upv.jpg,"Photo of a ball high in the air against a blue sky. No people, no text."
SCI-4.7-CL,Which force?,venn,kickV,A player's foot kicks a soccer ball across the field.,/lab/sci-4.7-cl-kickv.jpg,"Photo of a foot kicking a soccer ball on grass. No face, no text."
SCI-4.7-CL,Which force?,venn,coconutV,A coconut drops from the top of a tall palm tree.,/lab/sci-4.7-cl-coconutv.jpg,"Photo of coconuts hanging high in a palm tree. No people, no text."
SCI-4.7-CL,Which force?,venn,magnetV,A magnet pulls a paper clip up off the table.,/lab/sci-4.7-cl-magnetv.jpg,"Photo of a paper clip jumping up toward a magnet held above it. No face, no text."
SCI-4.10A-CL,Up or down the cycle,page 1,puddle,A puddle dries up on a sunny day,/lab/sci-4.10a-cl-puddle.jpg,"Photo of a small, half-dried puddle on a sidewalk in bright sun. No people, no text."
SCI-4.10A-CL,Up or down the cycle,page 1,clothes,Wet clothes dry on a clothesline,/lab/sci-4.10a-cl-clothes.jpg,"Photo of wet shirts and towels hanging on a clothesline outside. No people, no text."
SCI-4.10A-CL,Up or down the cycle,page 1,sidewalk,A wet sidewalk dries after rain,/lab/sci-4.10a-cl-sidewalk.jpg,"Photo of a sidewalk with dry patches spreading across wet concrete. No people, no text."
